SOURCE,TARGET
370574,99340
370574,395439
370574,1198144
370574,214652
370574,157725
370767,1225098
373733,94675
373733,3064
373733,239519
373733,434354
374355,122101
374355,293298
374355,1206650
374355,735352
376347,27985
376347,258568
376347,172987
376347,1011436
376347,780508
376347,382067
376463,8389
376463,76245
376463,77785
376463,85586
376463,258568
376463,4166
376463,643820
376463,107158
376907,518662
376907,32095
377795,361698
378397,35821
378397,53892
378998,98581
381388,231558
381388,258568
381388,999848
381388,3064
381388,373733
381388,391689
382067,107403
382067,157725
382067,214652
382067,99777
382067,4166
382067,63999
382217,525170
382217,99012
382217,60422
382686,66894
382686,35997
382686,605216
382686,305669
384871,258568
385468,24967
385468,36762
385468,49344
385468,17190
385468,16496
385468,65088
385468,35821
385468,660472
385468,79230
385468,420631
386004,258568
386004,1167326
386004,145945
386230,58679
386375,208732
386375,33570
386375,122101
386375,30906
387593,39078
387593,959536
387593,258568
388134,28016
388249,93429
388249,157725
388753,129588
388753,110263
389011,24967
389011,241634
389011,36598
390591,215342
391231,237482
391231,37679
391231,241634
391689,62496
391689,168159
392790,25523
393446,26069
393446,547544
395031,122101
395031,682736
395031,584858
395392,1819482
395432,669530
395432,157732
395432,515884
395439,2416724
395439,83205
395439,1412036
395439,1198144
395439,118908
395439,214652
395439,241634
395439,99340
395439,157725
395439,112345
395439,54136
395439,65776
395439,134410
395439,370574
395439,31698
395439,38580
395439,761344
395439,61203
395439,155601
395439,24967
395439,218525
395439,1431110
395439,272310
395439,32095
395439,627278
395439,135234
395439,1045484
395439,36762
395439,17943
396673,293298
396673,374355
396673,122101
397618,36942
397618,83474
397618,99340
398101,1195752
400240,33570
400240,301087
400240,208732
400626,16747
400881,26666
403301,100291
403301,258568
403301,93488
403838,40894
403838,92967
403838,640024
403838,154797
403838,347249
403881,8566
403881,182491
404732,24967
404732,9446
406120,89512
406120,155304
406120,241634
406120,116893
406120,1167326
406120,598310
406120,115444
406120,158025
406120,380305
406120,214652
406120,160302
406275,72815
406275,19044
406275,396333
406343,598310
406343,321496
407020,831
408170,122101
408170,87203
408170,49817
408170,293298
409433,41070
409433,16132
409433,214652
409554,262198
409554,36762
409554,325244
409701,53372
410185,28233
410185,986538
410433,77785
410433,455130
411448,742906
411999,69959
411999,88931
411999,737486
411999,58600
411999,92096
411999,24967
412171,598310
412171,4166
412235,388249
412272,297068
412272,195064
412272,195493
412402,4166
412402,258568
412402,8389
412402,65776
412402,8791
412402,341265
412402,15016
412465,999848
412465,99149
413139,58679
413139,66894
413139,35997
413359,1133464
414074,1093160
414226,9446
414226,1678604
414226,24967
414226,35733
414226,68912
414226,5449
414226,49851
414226,26979
416894,228712
417315,24967
417315,89512
417693,19822
417926,1639580
418511,157725
418511,881620
418511,274980
419305,124705
419305,2901211
419876,36762
419876,1678604
419993,200188
419993,282415
419993,253909
420061,388424
420365,1167326
420365,86970
420365,595658
420365,229127
420365,1078742
421070,36762
421070,273404
421070,16734
421070,384600
421070,75278
422339,53892
422339,1724654
422339,615130
422459,155601
425798,54611
425798,258568
425798,226976
426434,678770
426434,618924
426434,1312210
426817,68459
426817,98581
426817,595250
426817,26398
427536,372772
427536,44261
427536,25701
427536,1167326
427536,1078742
427536,160302
429502,65776
429502,24967
429502,241634
429843,33570
429843,208732
429843,301087
429843,65470
430714,45874
431210,598310
431630,114508
431630,128191
431630,99872
433663,9446
433663,1167326
433682,473738
434354,1
434354,2439296
434354,24967
434354,373733
434354,391689
434354,2899677
434354,54034
434354,1184486
434354,2689807
434354,45640
434354,277051
434354,381388
434354,3064
434354,999848
438598,23
438598,58600
440810,115500
440810,262938
447070,7074
447070,250093
447070,68426
447070,457434
447070,1189254
447070,432430
447070,733370
451340,66894
454730,49344
454730,368854
454730,860806
455130,820332
457434,447070
457434,65776
457434,234000
459940,73854
460388,19668
460388,16734
460388,371450
461594,160302
462094,450370
462700,241634
462700,107403
462700,86106
464618,241634
466258,24286
466258,83352
466268,49851
467650,254158
467650,2104556
468426,1564666
468982,68912
473738,53995
474296,740
474296,65088
474296,52142
474296,181494
485222,24967
485222,155601
485222,69959
485222,36762
485222,1678604
485650,35821
485650,85586
485650,772738
485650,1636348
487058,35821
491720,150473
491720,166383
491720,1463982
491720,336254
492012,271491
492012,30906
492012,406552
495716,780508
496408,262198
496408,36942
498926,65676
498926,65776
498926,1167326
498926,258568
498926,426416
498926,26398
498926,160302
498926,49851
498942,25382
501638,67
501638,183211
501638,183932
501638,166383
501638,241634
501638,99340
501638,85586
501638,1167326
501638,160302
501638,226976
501638,234000
501638,65776
501638,258568
502442,478028
502506,71764
504278,35821
507086,573680
509070,566926
511760,32095
511760,820332
512828,16747
512828,262198
514568,116397
514568,122101
514568,632564
514568,80423
514568,309607
514568,350126
516442,93254
516442,92096
517314,37340
521370,37679
521370,65088
521370,999848
521370,24967
521370,485222
521370,65676
521370,188
525170,24967
